Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Fecha
0,0,0,0,0,0,7,0,4,0,1,0,0,1,0,0,2020-03-09
0,0,0,0,0,0,10,0,5,0,1,0,0,1,0,0,2020-03-10
0,0,0,0,0,0,14,0,7,0,1,0,0,1,0,0,2020-03-11
0,0,0,0,0,0,23,0,7,1,1,0,0,1,0,0,2020-03-12
0,0,0,0,0,0,29,0,8,2,3,0,0,1,0,0,2020-03-13
0,0,2,1,0,0,40,0,9,4,3,0,0,1,1,0,2020-03-14
0,0,2,1,0,0,54,0,9,4,3,0,0,1,1,0,2020-03-15
0,0,2,1,0,1,123,0,9,12,4,1,1,1,1,0,2020-03-16
0,0,2,1,0,1,152,0,9,26,4,1,1,1,1,2,2020-03-17
0,0,2,1,0,1,174,0,11,26,7,4,1,8,1,2,2020-03-18
1,0,2,1,2,4,247,2,14,28,14,7,1,16,1,2,2020-03-19
1,0,6,1,3,5,304,6,14,44,19,9,1,18,1,2,2020-03-20
1,0,10,1,3,13,359,7,15,58,30,15,1,20,1,3,2020-03-21
2,0,11,1,5,16,409,8,25,64,35,27,1,23,1,4,2020-03-22
2,1,11,1,6,19,459,8,28,81,46,40,4,33,1,6,2020-03-23
2,4,13,1,11,25,540,9,29,105,73,59,6,36,1,8,2020-03-24
2,4,19,1,12,32,682,11,30,111,95,74,11,44,1,13,2020-03-25
3,5,20,1,13,44,746,14,31,114,109,11,14,60,2,19,2020-03-26
3,5,21,1,14,49,938,16,32,144,135,143,22,63,2,22,2020-03-27
3,5,25,1,15,71,1084,20,37,172,151,177,27,93,2,26,2020-03-28
4,6,27,2,18,80,1167,21,42,197,185,205,40,104,2,39,2020-03-29
6,8,35,2,27,108,1295,21,54,229,201,247,47,128,2,39,2020-03-30
6,10,35,2,28,115,1420,23,62,245,216,302,58,151,2,63,2020-03-31
6,10,39,3,30,136,1521,26,71,259,240,343,64,181,3,99,2020-04-01
7,12,47,3,34,156,1636,32,82,341,275,389,68,203,5,114,2020-04-02
12,13,54,5,35,176,1742,33,89,370,302,432,78,234,6,156,2020-04-03
12,17,55,5,44,185,1957,38,97,401,347,477,89,259,6,172,2020-04-04
28,20,60,5,50,191,2102,41,103,425,365,509,99,276,7,190,2020-04-05
41,21,68,5,51,198,2244,42,108,474,383,562,104,286,7,221,2020-04-06
53,23,69,6,52,214,2350,42,108,522,410,612,109,299,7,240,2020-04-07
63,26,77,8,56,225,2548,43,119,561,439,669,114,325,7,266,2020-04-08
75,29,92,10,61,230,2832,44,128,571,460,689,118,340,7,286,2020-04-09
87,35,110,13,61,241,3193,44,131,589,474,712,124,349,7,331,2020-04-10
