Región,Casos nuevos,Casos totales,% Casos totales**,Fallecidos
Arica y Parinacota,20,107,"1,54 %",0
Tarapacá,3,38,"0,55 %",0
Antofagasta,7,117,"1,69 %",1
Atacama,0,13,"0, 19 %",0
Coquimbo,3,64,"0,92 %",0
Valparaíso,7,248,"3,58 %",2
Metropolitana,255,3448,"49,78 %",32
O’Higgins,1,45,"0,65 %",0
Maule,3,134,"1,93 %",3
Ñuble,17,606,"8,75 %",6
Biobío,16,490,"7,07 %",2
Araucanía,27,739,"10,67 %",17
Los Ríos,6,130,"1,88 %",2
Los Lagos,15,364,"5,25 %",5
Aysén,0,7,"0,10 %",0
Magallanes,46,377,"5,44 %",3
