recuperados a nivel nacional,Casos_fallecidos,Casos_totales_nuevos,Casos_totales_dia,Fecha
0,0,1,1,2020-03-03
0,0,3,2,2020-03-04
0,0,4,1,2020-03-05
0,0,5,1,2020-03-06
0,0,7,2,2020-03-07
0,0,10,3,2020-03-08
0,0,13,3,2020-03-09
0,0,17,6,2020-03-10
0,0,23,5,2020-03-11
0,0,33,11,2020-03-12
0,0,43,10,2020-03-13
0,0,61,18,2020-03-14
0,0,75,14,2020-03-15
0,0,156,81,2020-03-16
0,0,201,45,2020-03-17
0,0,238,37,2020-03-18
5,0,342,103,2020-03-19
6,0,434,92,2020-03-20
8,0,537,103,2020-03-21
8,1,632,95,2020-03-22
11,2,746,114,2020-03-23
17,2,922,176,2020-03-24
22,3,1142,220,2020-03-25
33,4,1306,164,2020-03-26
43,5,1610,304,2020-03-27
61,6,1909,299,2020-03-28
75,7,2139,230,2020-03-29
