Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Casos activos confirmados,Fallecidos totales***,Casos confirmados recuperados ****
Arica y Parinacota,2006,57,56,1,0,455,22,1530
Tarapacá,6508,136,100,30,6,769,102,5657
Antofagasta,10119,296,223,54,19,1740,183,8113
Atacama,1253,45,29,16,0,318,5,920
Coquimbo,3434,101,69,15,17,669,26,2737
Valparaíso,13051,285,215,26,44,1942,292,10673
Metropolitana,228208,2080,1623,194,263,16497,5328,206451
O’Higgins,7068,209,175,23,11,1866,92,5183
Maule,6265,121,109,10,2,1205,70,4966
Ñuble,2577,44,28,6,10,299,33,2232
Biobío,7456,194,133,41,20,1580,64,5829
Araucanía,3399,30,26,4,0,277,45,3064
Los Ríos,724,4,3,1,0,70,10,645
Los Lagos,1930,74,59,12,3,381,21,1524
Aysén,48,2,0,2,0,13,0,35
Magallanes,1486,7,4,3,0,98,15,1371
Se desconoce región de origen,0,0,0,0,0,15,0,102
Total,295532,3685,2852,438,395,28194,6308,261032
