Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Fallecidos totales***,Casos activos confirmado
Arica y Parinacota,1.42,49.0,46.0,3,0,12.0,375.0
Tarapacá,5.355,97.0,76.0,16,5,80.0,992.0
Antofagasta,6.707999999999999,247.0,218.0,24,5,100.0,1.588
Atacama,718.0,35.0,28.0,7,0,2.0,246.0
Coquimbo,2.428,69.0,53.0,6,10,17.0,691.0
Valparaíso,9.615,317.0,259.0,21,37,170.0,1.974
Metropolitana,198.392,3.0260000000000002,2.411,218,397,3.892,25.101
O’Higgins,4.186,234.0,192.0,25,17,52.0,1.641
Maule,4.355,145.0,122.0,14,9,33.0,1.287
Ñuble,2.181,22.0,22.0,0,0,28.0,437.0
Biobío,5.1579999999999995,247.0,190.0,44,13,35.0,1.7930000000000001
Araucanía,3.009,40.0,32.0,7,1,39.0,343.0
Los Ríos,621.0,11.0,7.0,4,0,10.0,129.0
Los Lagos,1.4369999999999998,52.0,44.0,3,5,17.0,291.0
Aysén,28.0,0.0,0.0,0,0,0.0,6.0
Magallanes,1.3519999999999999,17.0,10.0,7,0,15.0,170.0
Total,246.963,4.6080000000000005,3.71,399,499,4.502,37.064
