Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Fallecidos totales***,Casos activos confirmado
Arica y Parinacota,1.649,38.0,28.0,9,1,20.0,371.0
Tarapacá,5.893,122.0,101.0,16,5,91.0,821.0
Antofagasta,8.308,281.0,249.0,27,5,147.0,1.692
Atacama,956.0,31.0,27.0,4,0,2.0,293.0
Coquimbo,2.8569999999999998,76.0,67.0,5,4,23.0,668.0
Valparaíso,11.307,253.0,214.0,23,16,229.0,2.093
Metropolitana,214.388,2.569,2.048,193,328,4.711,21.666999999999998
O’Higgins,5.606,284.0,244.0,31,9,69.0,2.077
Maule,5.322,140.0,112.0,14,14,48.0,1.3769999999999998
Ñuble,2.363,46.0,33.0,9,4,32.0,381.0
Biobío,6.398,259.0,189.0,40,30,50.0,2.025
Araucanía,3.1719999999999997,44.0,35.0,9,0,41.0,260.0
Los Ríos,678.0,19.0,15.0,4,0,10.0,94.0
Los Lagos,1.609,36.0,28.0,7,1,21.0,295.0
Aysén,41.0,6.0,1.0,5,0,0.0,14.0
Magallanes,1.435,12.0,5.0,6,1,15.0,135.0
Total,271.982,4.216,3.3960000000000004,402,418,5.5089999999999995,34.263000000000005
