Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Casos activos confirmado,Fallecidos totales,Casos confirmados recuperados
Arica y Parinacota,1.713,28.0,24.0,4,0,351.0,20.0,1.34
Tarapacá,6.0489999999999995,75.0,53.0,18,4,771.0,91.0,5.193
Antofagasta,8.829,204.0,187.0,13,4,1.6869999999999998,147.0,6.907
Atacama,1.043,37.0,19.0,18,0,307.0,2.0,732.0
Coquimbo,3.05,89.0,55.0,5,29,699.0,23.0,2.343
Valparaíso,11.752,211.0,175.0,13,23,1.9680000000000002,230.0,9.408999999999999
Metropolitana,219.15099999999998,2.255,1.7590000000000001,203,293,20.264,4889.0,194.09400000000002
O’Higgins,6.081,237.0,217.0,18,2,2.086,69.0,3.9730000000000003
Maule,5.5489999999999995,86.0,65.0,17,4,1.296,48.0,4.1819999999999995
Ñuble,2.397,13.0,12.0,1,0,330.0,32.0,2.021
Biobío,6.697,102.0,82.0,14,6,1.909,50.0,4.76
Araucanía,3.2310000000000003,19.0,14.0,5,0,255.0,41.0,2.9219999999999997
Los Ríos,701.0,12.0,8.0,4,0,98.0,10.0,594.0
Los Lagos,1.656,14.0,11.0,3,0,286.0,21.0,1.338
Aysén,42.0,0.0,0.0,0,0,14.0,0.0,29.0
Magallanes,1.452,12.0,9.0,2,1,140.0,15.0,1.294
Desconocida,0.0,0.0,0.0,0,0,15.0,0.0,98.0
Total,279.393,3.3939999999999997,2.69,338,366,32.476,5.688,241.229
