Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Casos activos confirmados,Fallecidos totales***,Casos confirmados recuperados ****
Arica y Parinacota,1949,60,52,7,1,430,22,1497
Tarapacá,6372,74,55,11,8,718,98,5565
Antofagasta,9823,253,204,33,16,1704,174,7861
Atacama,1208,42,28,14,0,320,5,879
Coquimbo,3333,109,91,5,13,650,26,2656
Valparaíso,12766,301,254,17,30,1941,278,10403
Metropolitana,226128,2236,1717,187,332,16576,5251,204387
O’Higgins,6859,234,185,36,13,1916,89,4921
Maule,6144,170,147,15,8,1241,65,4817
Ñuble,2533,43,34,6,3,287,33,2200
Biobío,7262,131,103,22,6,1623,61,5603
Araucanía,3369,45,37,6,2,273,44,3037
Los Ríos,720,7,6,1,0,78,10,633
Los Lagos,1856,50,36,10,4,330,21,1496
Aysén,46,0,0,0,0,14,0,32
Magallanes,1479,3,2,1,0,107,15,1355
Desconocida,0,0,0,0,0,2,0,103
Total,291847,3758,2951,371,436,28210,6192,257445
