Fecha,Casos recuperados,Fallecidos,Casos totales,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas,Casos activos
2020-03-02,0.0,0,1,1,1,,1
2020-03-03,0.0,0,1,0,0,,1
2020-03-04,0.0,0,3,2,2,,3
2020-03-05,0.0,0,4,1,1,,4
2020-03-06,0.0,0,5,1,1,,5
2020-03-07,0.0,0,7,2,2,,7
2020-03-08,0.0,0,10,3,3,,10
2020-03-09,0.0,0,15,5,5,,15
2020-03-10,0.0,0,17,2,2,,17
2020-03-11,0.0,0,23,6,6,,23
2020-03-12,0.0,0,33,10,10,,33
2020-03-13,0.0,0,43,10,10,,43
2020-03-14,0.0,0,61,18,18,,61
2020-03-15,0.0,0,75,14,14,,75
2020-03-16,0.0,0,156,81,81,,156
2020-03-17,1.0,0,201,45,45,,200
2020-03-18,3.0,0,238,37,37,,235
2020-03-19,4.0,0,342,104,104,,338
2020-03-20,5.0,0,434,92,92,,429
2020-03-21,6.0,0,537,103,103,,531
2020-03-22,8.0,1,632,95,95,,623
2020-03-23,11.0,1,746,114,114,,734
2020-03-24,17.0,2,922,176,176,,903
2020-03-25,22.0,3,1142,220,220,,1117
2020-03-26,33.0,4,1306,164,164,,1269
2020-03-27,43.0,5,1610,304,304,,1562
2020-03-28,61.0,6,1909,299,299,,1842
2020-03-29,75.0,7,2139,230,230,,2057
2020-03-30,156.0,8,2449,310,310,,2285
2020-03-31,201.0,12,2738,289,289,,2525
2020-04-01,234.0,16,3031,293,293,,2781
2020-04-02,335.0,18,3404,373,373,,3051
2020-04-03,427.0,22,3737,333,333,,3288
2020-04-04,528.0,27,4161,424,424,,3606
2020-04-05,617.0,34,4471,310,310,,3820
2020-04-06,728.0,37,4815,344,344,,4050
2020-04-07,898.0,43,5116,301,301,,4175
2020-04-08,1115.0,48,5546,430,430,,4383
2020-04-09,1274.0,57,5972,426,426,,4641
2020-04-10,1571.0,65,6501,529,529,,4865
2020-04-11,1864.0,73,6927,426,426,,4990
2020-04-12,2059.0,80,7213,286,286,,5074
2020-04-13,2367.0,82,7525,312,312,,5076
2020-04-14,2646.0,92,7917,392,392,,5179
2020-04-15,2937.0,94,8273,356,356,,5242
2020-04-16,3299.0,105,8807,534,534,,5403
2020-04-17,3621.0,116,9252,445,445,,5515
2020-04-18,4035.0,126,9730,478,478,,5569
2020-04-19,4338.0,133,10088,358,358,,5617
2020-04-20,4676.0,139,10507,419,419,,5692
2020-04-21,4969.0,147,10832,325,325,,5716
2020-04-22,5386.0,160,11296,464,464,,5750
2020-04-23,5804.0,168,11812,516,516,,5840
2020-04-24,6327.0,174,12306,494,494,,5805
2020-04-25,6746.0,181,12858,552,552,,5931
2020-04-26,7024.0,189,13331,473,473,,6118
2020-04-27,7327.0,198,13813,482,482,,6288
2020-04-28,7710.0,207,14365,552,552,,6448
2020-04-29,8057.0,216,15135,770,520,250.0,6862
2020-04-30,8580.0,227,16023,888,780,108.0,7216
2020-05-01,9018.0,234,17008,985,882,103.0,7756
2020-05-02,9572.0,247,18435,1427,1246,181.0,8616
2020-05-03,10041.0,260,19663,1228,1112,116.0,9362
2020-05-04,10415.0,270,20643,980,876,104.0,9958
2020-05-05,10710.0,275,22016,1373,1317,56.0,11031
2020-05-06,11189.0,281,23048,1032,893,139.0,11578
2020-05-07,11664.0,285,24581,1533,1343,190.0,12632
2020-05-08,12160.0,294,25972,1391,1183,208.0,13518
2020-05-09,12667.0,304,27219,1247,1004,243.0,14248
2020-05-10,13112.0,312,28866,1647,1406,241.0,15442
2020-05-11,13605.0,323,30063,1197,975,222.0,16135
2020-05-12,14125.0,335,31721,1658,1479,179.0,17261
2020-05-13,14865.0,346,34381,2660,2152,508.0,19170
2020-05-14,15655.0,368,37040,2659,2301,358.0,21017
2020-05-15,16614.0,394,39542,2502,2112,390.0,22534
2020-05-16,18014.0,421,41428,1886,1573,313.0,22993
2020-05-17,19213.0,450,43781,2353,2024,329.0,24118
2020-05-18,20165.0,478,46059,2278,2018,260.0,25416
2020-05-19,21507.0,509,49579,3520,3099,421.0,27563
2020-05-20,22504.0,544,53617,4038,3647,391.0,30569
2020-05-21,23992.0,589,57581,3964,3538,426.0,33000
2020-05-22,25342.0,630,61857,4276,3863,413.0,35885
2020-05-23,26546.0,673,65393,3536,3237,299.0,38174
2020-05-24,28148.0,718,69102,3709,3343,366.0,40236
2020-05-25,29302.0,761,73997,4895,4428,467.0,43934
2020-05-26,30915.0,806,77961,3964,3618,346.0,46240
2020-05-27,33540.0,841,82289,4328,3956,372.0,47908
2020-05-28,36115.0,890,86943,4654,4128,526.0,49938
2020-05-29,38598.0,944,90638,3695,3355,340.0,51096
2020-05-30,40431.0,997,94858,4220,3736,484.0,53430
2020-05-31,42727.0,1054,99688,4830,4437,393.0,55907
2020-06-01,44946.0,1113,105159,5471,5082,389.0,59100
2020-06-02,,1188,108686,3527,3206,321.0,21325
2020-06-03,,1275,113628,4942,4537,405.0,21605
2020-06-04,,1356,118292,4664,4172,492.0,21305
2020-06-05,,1448,122499,4207,3790,417.0,21693
2020-06-06,,1541,127745,5246,4888,358.0,22387
2020-06-07,,2190,134150,6405,5760,645.0,24363
2020-06-08,,2264,138846,4696,4237,459.0,24334
