Región,Casos nuevos,Casos totales,% Casos totales**,Fallecidos
Arica y Parinacota,13,265,"1,92 %",3
Tarapacá,8,164,"1,19 %",1
Antofagasta,14,457,"3,31 %",4
Atacama,6,35,"0,25 %",0
Coquimbo,1,74,"0,54 %",0
Valparaíso,25,485,"3,51 %",9
Metropolitana,362,7858,"56,89 %",95
O’Higgins,2,94,"0,68 %",1
Maule,9,363,"2,63 %",12
Ñuble,10,741,"5,36 %",14
Biobío,3,706,"5,11 %",6
Araucanía,20,1236,"8,95 %",32
Los Ríos,2,180,"1,30 %",3
Los Lagos,4,477,"3,45 %",8
Aysén,0,7,"0,05 %",0
Magallanes,3,671,"4,86 %",10
