Región,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos,% Total
Arica y Parinacota,327,2,1,1,6,"1,26%"
Tarapacá,459,42,5,37,1,"1,77%"
Antofagasta,923,28,26,2,9,"3,55%"
Atacama,88,1,0,1,0,"0,34%"
Coquimbo,111,11,9,2,0,"0,43%"
Valparaíso,828,47,38,9,18,"3,19%"
Metropolitana,17979,1151,1022,129,157,"69,22%"
O’Higgins,167,16,13,3,3,"0,64%"
Maule,425,11,11,0,13,"1,64%"
Ñuble,794,1,1,0,18,"3,06%"
Biobío,842,28,20,8,8,"3,24%"
Araucanía,1403,18,7,11,36,"5,40%"
Los Ríos,203,1,1,0,4,"0,78%"
Los Lagos,548,3,1,2,10,"2,11%"
Aysén,8,0,0,0,0,"0,03%"
Magallanes,867,31,28,3,11,"3,34%"
