Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,525,212.1,143,57.8,143,57.8,212.0766546
Arica y Parinacota,15,Camarones,1233,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,810,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,2515,0,0,0,0,0,0,0
Tarapacá,1,Alto Hospicio,129999,591,454.6,255,196.2,253,194.6,454.6188817
Tarapacá,1,Camiña,1375,0,0,0,0,0,0,0
Tarapacá,1,Colchane,1583,0,0,0,0,0,0,0
Tarapacá,1,Huara,3,19,633.3,6,200,6,200,633333.3333
Tarapacá,1,Iquique,223463,951,425.6,470,210.3,469,209.9,425.5738086
Tarapacá,1,Pica,5958,39,654.6,2,33.6,2,33.6,654.5820745
Tarapacá,1,Pozo Almonte,17395,28,161,19,109.2,19,109.2,160.9657948
Antofagasta,2,Antofagasta,425725,1243,292,285,66.9,280,65.8,291.9725175
Antofagasta,2,Calama,190336,302,158.7,87,45.7,87,45.7,158.6667787
Antofagasta,2,María Elena,6814,147,2157.3,29,425.6,29,425.6,2157.323158
Antofagasta,2,Mejillones,14776,227,1536.3,33,223.3,33,223.3,1536.275041
Antofagasta,2,Ollagüe,287,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,10434,5,47.9,1,9.6,1,9.6,47.92026069
Antofagasta,2,Sierra Gorda,1746,13,744.6,4,229.1,4,229.1,744.558992
Antofagasta,2,Taltal,13657,25,183.1,13,95.2,12,87.9,183.0563081
Antofagasta,2,Tocopilla,28079,28,99.7,6,21.4,6,21.4,99.71865095
Atacama,3,Alto del Carmen,5729,0,0,0,0,0,0,0
Atacama,3,Caldera,19426,5,25.7,1,5.1,1,5.1,25.73870071
Atacama,3,Chañaral,13164,0,0,0,0,0,0,0
Atacama,3,Copiapó,171766,100,58.2,25,14.6,25,14.6,58.21873945
Atacama,3,Diego de Almagro,14358,8,55.7,5,34.8,5,34.8,55.71806658
Atacama,3,Freirina,7681,1,13,0,0,0,0,13.01913813
Atacama,3,Huasco,11264,1,8.9,0,0,0,0,8.877840909
Atacama,3,Tierra Amarilla,14312,23,160.7,0,0,0,0,160.7043041
Atacama,3,Vallenar,57009,48,84.2,5,8.8,5,8.8,84.19723202
Coquimbo,4,Andacollo,11791,4,33.9,0,0,0,0,33.92417946
Coquimbo,4,Canela,9546,2,21,1,10.5,1,10.5,20.95118374
Coquimbo,4,Combarbalá,13884,7,50.4,3,21.6,3,21.6,50.41774705
Coquimbo,4,Coquimbo,256735,74,28.8,9,3.5,9,3.5,28.82349504
Coquimbo,4,Illapel,32801,19,57.9,0,0,0,0,57.92506326
Coquimbo,4,La Higuera,445,0,0,0,0,0,0,0
Coquimbo,4,La Serena,249656,117,46.9,36,14.4,35,14,46.86448553
Coquimbo,4,Los Vilos,23374,1,4.3,0,0,0,0,4.278257893
Coquimbo,4,Monte Patria,32527,20,61.5,13,40,13,40,61.48737972
Coquimbo,4,Ovalle,121269,70,57.7,23,19,23,19,57.72291352
Coquimbo,4,Paiguano,4675,0,0,0,0,0,0,0
Coquimbo,4,Punitaqui,12165,11,90.4,0,0,0,0,90.42334566
Coquimbo,4,Río Hurtado,4372,2,45.7,0,0,0,0,45.74565416
Coquimbo,4,Salamanca,2911,12,41.2,1,3.4,1,3.4,412.2294744
Coquimbo,4,Vicuña,29741,12,40.3,4,13.4,4,13.4,40.34834067
Valparaíso,5,Algarrobo,15174,33,217.5,8,52.7,7,46.1,217.4772637
Valparaíso,5,Cabildo,20663,13,62.9,3,14.5,3,14.5,62.91438804
Valparaíso,5,Calera,53591,42,78.4,12,22.4,12,22.4,78.37136833
Valparaíso,5,Calle Larga,16482,23,139.5,10,60.7,10,60.7,139.5461716
Valparaíso,5,Cartagena,25357,36,142,8,31.5,8,31.5,141.9726308
Valparaíso,5,Casablanca,2917,21,72,10,34.3,10,34.3,719.9177237
Valparaíso,5,Catemu,15213,7,46,4,26.3,4,26.3,46.01327812
Valparaíso,5,Concón,45889,44,95.9,9,19.6,8,17.4,95.88354508
Valparaíso,5,El Quisco,17742,33,186,7,39.5,7,39.5,185.9993236
Valparaíso,5,El Tabo,14338,31,216.2,5,34.9,5,34.9,216.2086762
Valparaíso,5,Hijuelas,19099,6,31.4,5,26.2,5,26.2,31.41525734
Valparaíso,5,Isla de Pascua,8277,5,60.4,0,0,0,0,60.40836052
Valparaíso,5,Juan Fernández,1033,0,0,0,0,0,0,0
Valparaíso,5,La Cruz,25321,24,94.8,2,7.9,2,7.9,94.78298645
Valparaíso,5,La Ligua,37739,9,23.8,6,15.9,6,15.9,23.84800869
Valparaíso,5,Limache,49931,79,158.2,24,48.1,23,46.1,158.2183413
Valparaíso,5,Llaillay,26533,37,139.4,26,98,26,98,139.4489881
Valparaíso,5,Los Andes,68093,92,135.1,50,73.4,50,73.4,135.1093358
Valparaíso,5,Nogales,2349,12,51.1,6,25.5,6,25.5,510.8556833
Valparaíso,5,Olmué,19266,8,41.5,4,20.8,4,20.8,41.52392816
Valparaíso,5,Panquehue,7633,5,65.5,2,26.2,2,26.2,65.50504389
Valparaíso,5,Papudo,6201,4,64.5,3,48.4,3,48.4,64.50572488
Valparaíso,5,Petorca,10558,11,104.2,4,37.9,4,37.9,104.1863989
Valparaíso,5,Puchuncaví,20071,5,24.9,2,10,2,10,24.91156395
Valparaíso,5,Putaendo,17645,22,124.7,7,39.7,7,39.7,124.6812128
Valparaíso,5,Quillota,97572,59,60.5,11,11.3,11,11.3,60.4681671
Valparaíso,5,Quilpué,167085,155,92.8,43,25.7,42,25.1,92.76715444
Valparaíso,5,Quintero,36135,41,113.5,11,30.4,10,27.7,113.4634011
Valparaíso,5,Rinconada,11263,18,159.8,13,115.4,13,115.4,159.8153245
Valparaíso,5,San Antonio,96761,286,295.6,62,64.1,60,62,295.5736299
Valparaíso,5,San Esteban,20643,17,82.4,6,29.1,6,29.1,82.35237126
Valparaíso,5,San Felipe,83494,87,104.2,50,59.9,49,58.7,104.1991041
Valparaíso,5,Santa María,16367,26,158.9,4,24.4,4,24.4,158.8562351
Valparaíso,5,Santo Domingo,11934,35,293.3,5,41.9,5,41.9,293.279705
Valparaíso,5,Valparaíso,315732,412,130.5,111,35.2,109,34.5,130.4904159
Valparaíso,5,Villa Alemana,13931,122,87.6,34,24.4,33,23.7,875.7447419
Valparaíso,5,Viña del Mar,361371,476,131.7,123,34,120,33.2,131.7205863
Valparaíso,5,Zapallar,7994,0,0,0,0,0,0,0
Metropolitana,RM,Alhué,7405,3,40.5,1,13.5,1,13.5,40.51316678
Metropolitana,RM,Buin,109641,432,394,163,148.7,162,147.8,394.0131885
Metropolitana,RM,Calera de Tango,28525,66,231.4,29,101.7,29,101.7,231.375986
Metropolitana,RM,Cerrillos,88956,758,852.1,211,237.2,211,237.2,852.1066595
Metropolitana,RM,Cerro Navia,142465,993,697,177,124.2,173,121.4,697.0133015
Metropolitana,RM,Colina,180353,999,553.9,396,219.6,393,217.9,553.9137137
Metropolitana,RM,Conchalí,139195,1370,984.2,324,232.8,320,229.9,984.2307554
Metropolitana,RM,Curacaví,3643,149,409,63,172.9,62,170.2,4090.035685
Metropolitana,RM,El Bosque,172,1164,676.7,352,204.7,352,204.7,676744.186
Metropolitana,RM,El Monte,40014,91,227.4,24,60,23,57.5,227.4204029
Metropolitana,RM,Estación Central,206792,1700,822.1,448,216.6,446,215.7,822.0820922
Metropolitana,RM,Huechuraba,112528,840,746.5,226,200.8,225,200,746.4808759
Metropolitana,RM,Independencia,142065,1984,1396.5,405,285.1,403,283.7,1396.543836
Metropolitana,RM,Isla de Maipo,40171,46,114.5,10,24.9,10,24.9,114.5104678
Metropolitana,RM,La Cisterna,100434,719,715.9,221,220,221,220,715.8930243
Metropolitana,RM,La Florida,402433,3256,809.1,1236,307.1,1226,304.6,809.0787783
Metropolitana,RM,La Granja,122557,1769,1443.4,791,645.4,789,643.8,1443.410005
Metropolitana,RM,La Pintana,189335,1804,952.8,569,300.5,568,300,952.808514
Metropolitana,RM,La Reina,100252,485,483.8,181,180.5,179,178.6,483.7808722
Metropolitana,RM,Lampa,126898,660,520.1,221,174.2,221,174.2,520.1027597
Metropolitana,RM,Las Condes,330759,1765,533.6,644,194.7,641,193.8,533.6211562
Metropolitana,RM,Lo Barnechea,124076,892,718.9,274,220.8,274,220.8,718.9142139
Metropolitana,RM,Lo Espejo,103865,895,861.7,257,247.4,251,241.7,861.6954701
Metropolitana,RM,Lo Prado,104403,721,690.6,142,136,141,135.1,690.5931822
Metropolitana,RM,Macul,134635,1157,859.4,410,304.5,404,300.1,859.3604932
Metropolitana,RM,Maipú,578605,2537,438.5,892,154.2,890,153.8,438.4683852
Metropolitana,RM,María Pinto,14926,16,107.2,3,20.1,3,20.1,107.1954978
Metropolitana,RM,Melipilla,141612,412,290.9,173,122.2,173,122.2,290.9357964
Metropolitana,RM,Ñuñoa,250192,1315,525.6,458,183.1,456,182.3,525.596342
Metropolitana,RM,Padre Hurtado,74188,243,327.5,70,94.4,69,93,327.5462339
Metropolitana,RM,Paine,82766,198,239.2,73,88.2,73,88.2,239.2286688
Metropolitana,RM,Pedro Aguirre Cerda,107803,994,922.1,272,252.3,271,251.4,922.052262
Metropolitana,RM,Peñaflor,101058,274,271.1,87,86.1,84,83.1,271.1314295
Metropolitana,RM,Peñalolén,266798,2878,1078.7,1233,462.1,1229,460.6,1078.718731
Metropolitana,RM,Pirque,30433,169,555.3,57,187.3,57,187.3,555.3182401
Metropolitana,RM,Providencia,157749,846,536.3,295,187,292,185.1,536.2950003
Metropolitana,RM,Pudahuel,253139,1376,543.6,342,135.1,339,133.9,543.5748739
Metropolitana,RM,Puente Alto,645909,4495,695.9,1381,213.8,1376,213,695.9184653
Metropolitana,RM,Quilicura,254694,1968,772.7,472,185.3,472,185.3,772.6919362
Metropolitana,RM,Quinta Normal,136368,1036,759.7,207,151.8,205,150.3,759.7090226
Metropolitana,RM,Recoleta,190075,2560,1346.8,536,282,533,280.4,1346.836775
Metropolitana,RM,Renca,160847,1129,701.9,223,138.6,223,138.6,701.9092678
