Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Fallecidos,Tasa de mortalidad,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552.0,1887,762.3,22,8.9,406,164.0,406,164.0,762.26409
Arica y Parinacota,15,Camarones,1233.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,General Lagos,810.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,Putre,2515.0,11,437.4,0,0.0,1,39.8,1,39.8,437.3757455
Desconocido,,-,,1,0.0,0,0.0,0,0.0,0,0.0,
Tarapacá,1,Alto Hospicio,129999.0,1982,1524.6,25,19.2,219,168.5,219,168.5,1524.627113
Tarapacá,1,Camiña,1375.0,29,2109.1,2,145.5,10,727.3,10,727.3,2109.090909
Tarapacá,1,Colchane,1583.0,58,3663.9,2,126.3,20,1263.4,20,1263.4,3663.9292479999995
Tarapacá,1,Huara,3000.0,68,2266.7,3,100.0,9,300.0,9,300.0,2266.666667
Tarapacá,1,Iquique,223463.0,3319,1485.3,65,29.1,418,187.1,417,186.6,1485.257067
Tarapacá,1,Pica,5958.0,91,1527.4,0,0.0,14,235.0,14,235.0,1527.358174
Tarapacá,1,Pozo Almonte,17395.0,396,2276.5,5,28.7,65,373.7,65,373.7,2276.51624
Desconocido,,-,,295,0.0,0,0.0,39,0.0,39,0.0,
Antofagasta,2,Antofagasta,425725.0,4067,955.3,50,11.7,760,178.5,759,178.3,955.3115274
Antofagasta,2,Calama,190336.0,4240,2227.6,99,52.0,887,466.0,876,460.2,2227.639543
Antofagasta,2,María Elena,6814.0,247,3624.9,5,73.4,39,572.4,38,557.7,3624.889932
Antofagasta,2,Mejillones,14776.0,373,2524.4,4,27.1,44,297.8,44,297.8,2524.363833
Antofagasta,2,Ollagüe,287.0,6,2090.6,0,0.0,1,348.4,1,348.4,2090.592334
Antofagasta,2,San Pedro de Atacama,10434.0,106,1015.9,1,9.6,42,402.5,42,402.5,1015.9095269999999
Antofagasta,2,Sierra Gorda,1746.0,46,2634.6,0,0.0,4,229.1,4,229.1,2634.593356
Antofagasta,2,Taltal,13657.0,71,519.9,2,14.6,11,80.5,11,80.5,519.8799151000001
Antofagasta,2,Tocopilla,28079.0,134,477.2,4,14.2,41,146.0,41,146.0,477.22497239999996
Desconocido,,-,,98,0.0,0,0.0,56,0.0,56,0.0,
Atacama,3,Alto del Carmen,5729.0,6,104.7,0,0.0,0,0.0,0,0.0,104.7303194
Atacama,3,Caldera,19426.0,40,205.9,0,0.0,19,97.8,19,97.8,205.9096057
Atacama,3,Chañaral,13164.0,24,182.3,0,0.0,7,53.2,7,53.2,182.31540569999999
Atacama,3,Copiapó,171766.0,670,390.1,1,0.6,201,117.0,201,117.0,390.06555430000003
Atacama,3,Diego de Almagro,14358.0,37,257.7,1,7.0,7,48.8,7,48.8,257.69605789999997
Atacama,3,Freirina,7681.0,16,208.3,0,0.0,8,104.2,8,104.2,208.30621010000002
Atacama,3,Huasco,11264.0,21,186.4,0,0.0,5,44.4,5,44.4,186.4346591
Atacama,3,Tierra Amarilla,14312.0,69,482.1,0,0.0,13,90.8,13,90.8,482.1129121999999
Atacama,3,Vallenar,57009.0,262,459.6,0,0.0,97,170.1,97,170.1,459.5765581
Desconocido,,-,,26,0.0,0,0.0,25,0.0,25,0.0,
Coquimbo,4,Andacollo,11791.0,38,322.3,1,8.5,8,67.8,8,67.8,322.27970489999996
Coquimbo,4,Canela,9546.0,14,146.7,1,10.5,7,73.3,7,73.3,146.6582862
Coquimbo,4,Combarbalá,13884.0,30,216.1,0,0.0,1,7.2,1,7.2,216.0760588
Coquimbo,4,Coquimbo,256735.0,1044,406.6,6,2.3,223,86.9,223,86.9,406.6449841
Coquimbo,4,Illapel,32801.0,128,390.2,0,0.0,42,128.0,42,128.0,390.23200510000004
Coquimbo,4,La Higuera,4450.0,3,67.4,0,0.0,0,0.0,0,0.0,67.41573034
Coquimbo,4,La Serena,249656.0,874,350.1,8,3.2,198,79.3,198,79.3,350.08171239999996
Coquimbo,4,Los Vilos,23374.0,51,218.2,1,4.3,27,115.5,27,115.5,218.1911526
Coquimbo,4,Monte Patria,32527.0,191,587.2,1,3.1,36,110.7,36,110.7,587.2044762999999
Coquimbo,4,Ovalle,121269.0,863,711.6,8,6.6,160,131.9,160,131.9,711.6410624
Coquimbo,4,Paiguano,4675.0,7,149.7,0,0.0,0,0.0,0,0.0,149.7326203
Coquimbo,4,Punitaqui,12165.0,51,419.2,2,16.4,10,82.2,10,82.2,419.2355117
Coquimbo,4,Río Hurtado,4372.0,17,388.8,0,0.0,0,0.0,0,0.0,388.83806039999996
Coquimbo,4,Salamanca,29110.0,56,192.4,0,0.0,3,10.3,3,10.3,192.37375469999998
Coquimbo,4,Vicuña,29741.0,34,114.3,0,0.0,3,10.1,3,10.1,114.3202986
Desconocido,,-,,153,0.0,0,0.0,83,0.0,83,0.0,
Valparaíso,5,Algarrobo,15174.0,98,645.8,6,39.5,8,52.7,8,52.7,645.8415711
Valparaíso,5,Cabildo,20663.0,161,779.2,6,29.0,48,232.3,46,222.6,779.1704980000001
Valparaíso,5,Calera,53591.0,339,632.6,6,11.2,97,181.0,96,179.1,632.5689014999999
Valparaíso,5,Calle Larga,16482.0,170,1031.4,0,0.0,25,151.7,25,151.7,1031.428225
Valparaíso,5,Cartagena,25357.0,128,504.8,2,7.9,28,110.4,28,110.4,504.79157630000003
Valparaíso,5,Casablanca,29170.0,130,445.7,0,0.0,32,109.7,32,109.7,445.6633528
Valparaíso,5,Catemu,15213.0,72,473.3,1,6.6,15,98.6,15,98.6,473.27943210000007
Valparaíso,5,Concón,45889.0,275,599.3,4,8.7,67,146.0,66,143.8,599.2721567000001
Valparaíso,5,El Quisco,17742.0,113,636.9,3,16.9,11,62.0,11,62.0,636.9067749
Valparaíso,5,El Tabo,14338.0,150,1046.2,4,27.9,38,265.0,38,265.0,1046.171014
Valparaíso,5,Hijuelas,19099.0,96,502.6,3,15.7,27,141.4,27,141.4,502.6441175
Valparaíso,5,Isla de Pascua,8277.0,5,60.4,0,0.0,0,0.0,0,0.0,60.40836052
Valparaíso,5,Juan Fernández,1033.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Valparaíso,5,La Cruz,25321.0,97,383.1,1,3.9,22,86.9,22,86.9,383.0812369
Valparaíso,5,La Ligua,37739.0,199,527.3,4,10.6,41,108.6,41,108.6,527.30597
Valparaíso,5,Limache,49931.0,489,979.4,7,14.0,110,220.3,109,218.3,979.3515051
Valparaíso,5,Llaillay,26533.0,201,757.5,5,18.8,38,143.2,37,139.4,757.5472053999999
Valparaíso,5,Los Andes,68093.0,709,1041.2,21,30.8,132,193.9,132,193.9,1041.223033
Valparaíso,5,Nogales,23490.0,77,327.8,0,0.0,19,80.9,19,80.9,327.79906339999997
Valparaíso,5,Olmué,19266.0,78,404.9,2,10.4,12,62.3,12,62.3,404.8582996
Valparaíso,5,Panquehue,7633.0,59,773.0,0,0.0,10,131.0,10,131.0,772.9595178999999
Valparaíso,5,Papudo,6201.0,65,1048.2,0,0.0,6,96.8,6,96.8,1048.218029
Valparaíso,5,Petorca,10558.0,55,520.9,0,0.0,12,113.7,12,113.7,520.9319947
Valparaíso,5,Puchuncaví,20071.0,108,538.1,4,19.9,29,144.5,29,144.5,538.0897812999999
Valparaíso,5,Putaendo,17645.0,151,855.8,0,0.0,39,221.0,39,221.0,855.7665061
Valparaíso,5,Quillota,97572.0,894,916.2,15,15.4,231,236.7,227,232.6,916.2464641
Valparaíso,5,Quilpué,167085.0,992,593.7,9,5.4,228,136.5,227,135.9,593.7097884
Valparaíso,5,Quintero,36135.0,282,780.4,5,13.8,47,130.1,47,130.1,780.4068078
Valparaíso,5,Rinconada,11263.0,128,1136.5,2,17.8,23,204.2,23,204.2,1136.46453
Valparaíso,5,San Antonio,96761.0,983,1015.9,25,25.8,114,117.8,114,117.8,1015.905168
Valparaíso,5,San Esteban,20643.0,137,663.7,0,0.0,33,159.9,33,159.9,663.6632272
Valparaíso,5,San Felipe,83494.0,842,1008.5,18,21.6,155,185.6,155,185.6,1008.4556970000001
Valparaíso,5,Santa María,16367.0,145,885.9,2,12.2,28,171.1,28,171.1,885.9290035
Valparaíso,5,Santo Domingo,11934.0,119,997.2,1,8.4,8,67.0,8,67.0,997.1509972000001
Valparaíso,5,Valparaíso,315732.0,2766,876.1,49,15.5,501,158.7,500,158.4,876.0594427999999
Valparaíso,5,Villa Alemana,139310.0,954,684.8,12,8.6,168,120.6,167,119.9,684.8036753
Valparaíso,5,Viña del Mar,361371.0,2542,703.4,53,14.7,474,131.2,474,131.2,703.4322068
Valparaíso,5,Zapallar,7994.0,33,412.8,2,25.0,17,212.7,17,212.7,412.80960719999996
Desconocido,,-,,342,0.0,0,0.0,156,0.0,156,0.0,
Metropolitana,RM,Alhué,7405.0,84,1134.4,1,13.5,22,297.1,22,297.1,1134.3686699999998
Metropolitana,RM,Buin,109641.0,1776,1619.8,49,44.7,223,203.4,222,202.5,1619.831997
Metropolitana,RM,Calera de Tango,28525.0,428,1500.4,3,10.5,81,284.0,81,284.0,1500.438212
Metropolitana,RM,Cerrillos,88956.0,2468,2774.4,51,57.3,250,281.0,247,277.7,2774.405324
Metropolitana,RM,Cerro Navia,142465.0,5307,3725.1,183,128.5,463,325.0,461,323.6,3725.1254689999996
Metropolitana,RM,Colina,180353.0,3945,2187.4,75,41.6,351,194.6,348,193.0,2187.376977
Metropolitana,RM,Conchalí,139195.0,5189,3727.9,164,117.8,459,329.8,458,329.0,3727.863788
Metropolitana,RM,Curacaví,36430.0,698,1916.0,10,27.4,68,186.7,68,186.7,1916.003294
Metropolitana,RM,El Bosque,172000.0,5095,2962.2,143,83.1,542,315.1,531,308.7,2962.2093019999998
Metropolitana,RM,El Monte,40014.0,850,2124.3,26,65.0,129,322.4,129,322.4,2124.25651
Metropolitana,RM,Estación Central,206792.0,5281,2553.8,99,47.9,444,214.7,442,213.7,2553.77384
Metropolitana,RM,Huechuraba,112528.0,3185,2830.4,106,94.2,266,236.4,265,235.5,2830.406654
Metropolitana,RM,Independencia,142065.0,5635,3966.5,176,123.9,319,224.5,318,223.8,3966.4942100000003
Metropolitana,RM,Isla de Maipo,40171.0,545,1356.7,13,32.4,77,191.7,77,191.7,1356.7001070000001
Metropolitana,RM,La Cisterna,100434.0,2689,2677.4,86,85.6,240,239.0,239,238.0,2677.38017
Metropolitana,RM,La Florida,402433.0,11510,2860.1,310,77.0,1156,287.3,1149,285.5,2860.1034210000003
Metropolitana,RM,La Granja,122557.0,5978,4877.7,151,123.2,487,397.4,484,394.9,4877.730361999999
